Reporter Identifier	VALUE
ILMN_1763457	6.271534781
ILMN_1812517	6.416279185
ILMN_1699383	7.09678177
ILMN_1901068	6.56737089
ILMN_1808102	6.380382981
ILMN_1843096	6.487520921
ILMN_2133038	6.457852378
ILMN_1687508	11.82463298
ILMN_1788841	6.451765367
ILMN_1698191	6.79964261
ILMN_1825412	6.559975676
ILMN_1796377	6.325873675
ILMN_1831834	6.657435025
ILMN_1656600	6.141346721
ILMN_1847998	6.32498094
ILMN_1695878	6.287077858
ILMN_1841218	6.338081676
ILMN_1830474	6.891444874
ILMN_1911383	6.580907665
ILMN_1786834	6.640164194
ILMN_1815320	6.294702478
ILMN_1845824	6.590704325
ILMN_1667665	6.162780525
ILMN_1797701	6.234830761
ILMN_1905470	6.461906834
ILMN_2052891	8.41125217
ILMN_1782331	9.699724598
ILMN_1842319	6.849166995
ILMN_1724533	7.29199966
ILMN_1728360	9.610303245
ILMN_1816080	6.567431293
ILMN_1804327	10.77187631
ILMN_1815619	6.389493941
ILMN_1651624	6.269634395
ILMN_1703111	6.253816396
ILMN_1915132	6.311327905
ILMN_1693459	6.902887489
ILMN_2102330	6.414011914
ILMN_2377746	6.601363218
ILMN_1753830	8.75004238
ILMN_1848481	6.445000776
ILMN_1689736	6.532049045
ILMN_1817193	6.399048144
ILMN_1701376	6.429906565
ILMN_1678674	6.602816379
ILMN_2064917	8.265387463
ILMN_2069615	6.197836303
ILMN_1847870	6.447811765
ILMN_2262462	8.453347085
ILMN_2162819	6.54028777
ILMN_1800923	6.410443862
ILMN_1731640	7.552799246
ILMN_1842062	6.287913036
ILMN_1749920	6.549974017
ILMN_1812678	6.117901308
ILMN_1834427	6.487642585
ILMN_2110829	6.763680101
ILMN_1902123	6.425868498
ILMN_1692831	6.824646502
ILMN_1701589	6.234931528
ILMN_1666713	6.831897977
ILMN_1732371	6.561982049
ILMN_2209088	6.686819373
ILMN_1659693	6.542884903
ILMN_1798742	6.39963251
ILMN_1776857	6.512378349
ILMN_1768828	6.354943693
ILMN_1781416	6.523094027
ILMN_1794532	6.275658809
ILMN_1688220	6.410689591
ILMN_1886952	6.399788994
ILMN_1811450	6.343110896
ILMN_1749579	6.223370097
ILMN_1771738	6.515496658
ILMN_1674587	6.458238114
ILMN_1690703	6.651445033
ILMN_1703079	6.671444576
ILMN_1881495	6.476394533
ILMN_1718603	6.53638361
ILMN_1665563	6.351463177
ILMN_1700949	6.395950292
ILMN_1748601	6.289010939
ILMN_1762188	6.433813847
ILMN_1740816	6.498710062
ILMN_1681411	6.277472398
ILMN_1853860	6.552261781
ILMN_1736200	6.693265737
ILMN_1806456	6.656428621
ILMN_1830253	6.622252718
ILMN_1742309	6.495071535
ILMN_1827582	6.339633241
ILMN_1732407	6.466624143
ILMN_1715436	6.567896351
ILMN_1741684	6.64494409
ILMN_1802223	6.411306691
ILMN_2117736	6.317171578
ILMN_1715669	6.477245073
ILMN_1669966	12.08618958
ILMN_1740463	6.727609191
ILMN_1760027	6.803433765
ILMN_1849472	6.577804884
ILMN_1752758	7.748043116
ILMN_2059797	7.642560463
ILMN_1833121	6.163898332
ILMN_1713679	6.694132419
ILMN_2069912	6.464042643
ILMN_2310295	6.836752341
ILMN_1764690	6.573985745
ILMN_2145396	7.353907102
ILMN_1656171	6.669003688
ILMN_1846874	6.511692772
ILMN_2139827	6.224785701
ILMN_1876620	6.221912811
ILMN_2124585	6.581962661
ILMN_1807263	6.416386827
ILMN_2410713	7.874724756
ILMN_1852219	6.346664219
ILMN_1723594	6.351226419
ILMN_1776656	6.690934812
ILMN_1819884	6.502579279
ILMN_1656604	6.59645042
ILMN_1751886	8.411469746
